#guid,samplename,fastq1,fastq1_md5,fastq2,fastq2_md5
58266be1-5c55-43b1-a2ad-6a856052f098,site.07.iso.1.subject.58266be1-5c55-43b1-a2ad-6a856052f098.lab_id.58266be1-5c55-43b1-a2ad-6a856052f098.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/98/20/19820/Reads/reads.original.1.1.fq.gz,d0967a444e0c5dac89e0ef4ad7422ee8,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/98/20/19820/Reads/reads.original.1.2.fq.gz,f4dec10730bbff759067450e01840233
5a59bf2c-990e-43ca-89d0-c269f466d4b0,site.07.iso.1.subject.5a59bf2c-990e-43ca-89d0-c269f466d4b0.lab_id.5a59bf2c-990e-43ca-89d0-c269f466d4b0.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/98/85/19885/Reads/reads.original.1.1.fq.gz,224d950da1044559bbdf7807a2e8f778,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/01/98/85/19885/Reads/reads.original.1.2.fq.gz,30bb22faaeb7ec78d6b5bfb5a77fb25f
6c1839d3-65c7-4703-93e5-2113aa55cc6a,site.07.iso.1.subject.6c1839d3-65c7-4703-93e5-2113aa55cc6a.lab_id.6c1839d3-65c7-4703-93e5-2113aa55cc6a.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/04/25/20425/Reads/reads.original.1.1.fq.gz,2cb45babf63dfa0952466ec9b20bc99d,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/04/25/20425/Reads/reads.original.1.2.fq.gz,f2590e8bb3a98a25b06621ad3f886ad0
6ecec5e3-d286-4356-9daf-e6122f14dec6,site.07.iso.1.subject.6ecec5e3-d286-4356-9daf-e6122f14dec6.lab_id.6ecec5e3-d286-4356-9daf-e6122f14dec6.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/05/05/20505/Reads/reads.original.1.1.fq.gz,c551feeb94b1a205a7ecb72f9b615e55,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/05/05/20505/Reads/reads.original.1.2.fq.gz,538935057fb88fd1e2828a5602d82735
73086cb9-8f55-493a-9aa4-60998ccd7a75,site.07.iso.1.subject.73086cb9-8f55-493a-9aa4-60998ccd7a75.lab_id.73086cb9-8f55-493a-9aa4-60998ccd7a75.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/06/41/20641/Reads/reads.original.1.1.fq.gz,73a29d4b69d3802c389590a8a1e0421d,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/06/41/20641/Reads/reads.original.1.2.fq.gz,20146759e7cfee741bf685c7be77ebaf
743f68ed-b14c-453a-9f84-fb5c13a8a2d8,site.07.iso.1.subject.743f68ed-b14c-453a-9f84-fb5c13a8a2d8.lab_id.743f68ed-b14c-453a-9f84-fb5c13a8a2d8.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/06/89/20689/Reads/reads.original.1.1.fq.gz,850767d77adcb29a1bff891aa6b07213,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/06/89/20689/Reads/reads.original.1.2.fq.gz,aaabdfaf26eaab1795406c48d2411892
737fc339-4836-4ac6-a5c3-f5724f223a01,site.07.iso.1.subject.737fc339-4836-4ac6-a5c3-f5724f223a01.lab_id.737fc339-4836-4ac6-a5c3-f5724f223a01.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/06/56/20656/Reads/reads.original.1.1.fq.gz,634f06fe3e56db3d55468abb08709e82,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/06/56/20656/Reads/reads.original.1.2.fq.gz,92221e192536c427be413e4baf028c6c
761120aa-60fd-447c-8153-3d1d86b6ab48,site.07.iso.1.subject.761120aa-60fd-447c-8153-3d1d86b6ab48.lab_id.761120aa-60fd-447c-8153-3d1d86b6ab48.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/07/65/20765/Reads/reads.original.1.1.fq.gz,aae3df837ee78c3bf417cf7e8a2fc44c,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/07/65/20765/Reads/reads.original.1.2.fq.gz,4c59f41e61812fcc2afeb11b09bfe6fb
76d4ac69-54ba-40f1-b770-fb867a9bb2d8,site.07.iso.1.subject.76d4ac69-54ba-40f1-b770-fb867a9bb2d8.lab_id.76d4ac69-54ba-40f1-b770-fb867a9bb2d8.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/07/87/20787/Reads/reads.original.1.1.fq.gz,04e1c6fe8dbac099c54785dad82f4bee,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/07/87/20787/Reads/reads.original.1.2.fq.gz,5e9c2c96755e88762cb1f4081a6a35a2
82843d0f-b9ad-4dd9-8524-81c23caeb49d,site.07.iso.1.subject.82843d0f-b9ad-4dd9-8524-81c23caeb49d.lab_id.82843d0f-b9ad-4dd9-8524-81c23caeb49d.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/11/30/21130/Reads/reads.original.1.1.fq.gz,b6da8c454111a111d88dfeb13c89dd79,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/11/30/21130/Reads/reads.original.1.2.fq.gz,dc0f01df3b1b908e838bffe5df10dd80
83e7e915-f756-4e20-8b91-b64cc78ec0d2,site.07.iso.1.subject.83e7e915-f756-4e20-8b91-b64cc78ec0d2.lab_id.83e7e915-f756-4e20-8b91-b64cc78ec0d2.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/11/73/21173/Reads/reads.original.1.1.fq.gz,f70a179bd3e30dac78d38fea811fd383,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/11/73/21173/Reads/reads.original.1.2.fq.gz,40dc0bf0fc2bc37a7aee73f38d707c75
9ad6bceb-7c6d-4a11-bc2b-a245fe84a257,site.07.iso.1.subject.9ad6bceb-7c6d-4a11-bc2b-a245fe84a257.lab_id.9ad6bceb-7c6d-4a11-bc2b-a245fe84a257.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/19/08/21908/Reads/reads.original.1.1.fq.gz,e3751cb6e9c3369826b120e3b63b4892,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/19/08/21908/Reads/reads.original.1.2.fq.gz,e7f8f8eb412cdfbc408b48698d8ed6cb
a95c2a0a-9931-42b1-b34f-a61005367116,site.07.iso.1.subject.a95c2a0a-9931-42b1-b34f-a61005367116.lab_id.a95c2a0a-9931-42b1-b34f-a61005367116.seq_reps.1,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/23/41/22341/Reads/reads.original.1.1.fq.gz,97f2f29d9a84052f39f50cd054298ed9,/nfs/leia/research/iqbal/mhunt/Cryptic_production/Pipeline_root/00/02/23/41/22341/Reads/reads.original.1.2.fq.gz,b60ed538ca31b88331679ca67c4dc243
