sample,site,matched,pacbio,excluded,failed_qc,run,barcode,barcode_kit,collection_date,lineage,illumina_run_accession,nanopore_run_accession,pacbio_run_accession,sample_accession,biosample_accession,assembly_accession
R28581,south_africa,1,0,0,0,FAK48856,9,EXP-NBD103,12/12/2014,2.2.6_RD150,ERR5987281,ERR9030321,,ERS10792322,SAMEA13188785,
R15311,south_africa,1,0,0,0,FAK48818,20,EXP-NBD114,11/8/2011,4.3.2.1,ERR9030447,ERR9030471,,ERS10792323,SAMEA13188786,
R22601,south_africa,1,0,0,0,FAK46428,4,EXP-NBD103,22/10/2013,2.2.1,ERR9030306,ERR9030280,,ERS10792324,SAMEA13188787,
R20983,south_africa,1,0,0,0,FAK48914,4,EXP-NBD103,3/5/2013,4.1.1.3,ERR6362669,ERR9030389,,ERS10792325,SAMEA13188788,
R26778,south_africa,1,0,0,0,FAK48856,1,EXP-NBD103,8/10/2014,2.2.1,ERR9030524,ERR9030415,,ERS10792326,SAMEA13188789,
17_616026,birmingham,1,0,0,0,tb_birmingham_4,7,EXP-NBD103,2017,4.1.1.1,ERR9030272,ERR9030296,,ERS10792327,SAMEA13188790,
17_616156,birmingham,1,0,0,0,tb_birmingham_4,8,EXP-NBD103,2017,4.1.1.1,ERR4817065,ERR9030417,,ERS10792328,SAMEA13188791,
18_0621851,birmingham,1,0,0,0,birmingham-mgit-run4,11,EXP-NBD103,2018,2.2.4,ERR4816407,ERR9030323,,ERS10792329,SAMEA13188792,
18_0622057,birmingham,1,0,0,0,birmingham-mgit-run5,1,EXP-NBD103,2018,4.2.2.1,ERR4816125,ERR9030404,,ERS10792330,SAMEA13188793,
18_0622158,birmingham,1,0,0,0,birmingham-mgit-run7,8,EXP-NBD103,2018,4.1,ERR4815589,ERR9030279,,ERS10792331,SAMEA13188794,
18_0622224,birmingham,1,0,0,0,birmingham-mgit-run7,7,EXP-NBD103,2018,1.1.2,ERR4817836,ERR9030266,,ERS10792332,SAMEA13188795,
18_0622267,birmingham,1,0,0,0,birmingham-mgit-run6,2,EXP-NBD103,2018,4,ERR4814915,ERR9030322,,ERS10792333,SAMEA13188796,
18_0622291,birmingham,1,0,0,0,birmingham-mgit-run4,12,EXP-NBD103,2018,1.1.1,ERR4820117,ERR9030285,,ERS10792334,SAMEA13188797,
18_0622300,birmingham,1,0,0,0,birmingham-mgit-run6,4,EXP-NBD103,2018,1.2.2,ERR4815412,ERR9030370,,ERS10792335,SAMEA13188798,
18_0622312,birmingham,1,0,0,0,birmingham-mgit-run3,2,EXP-NBD103,2018,4.1,ERR4817821,ERR9030497,,ERS10792336,SAMEA13188799,
18_0622363,birmingham,1,0,0,0,birmingham-mgit-run3,3,EXP-NBD103,2018,3.1.2.2,ERR4814811,ERR9030493,,ERS10792337,SAMEA13188800,
18_0622365,birmingham,1,0,0,0,birmingham-mgit-run3,6,EXP-NBD103,2018,4.3.2.1,ERR4821165,ERR9030334,,ERS10792338,SAMEA13188801,
18_0622431,birmingham,1,0,0,0,birmingham-mgit-run4,8,EXP-NBD103,2018,1.1.2,ERR4820958,ERR9030383,,ERS10792339,SAMEA13188802,
18_0622434,birmingham,1,0,0,0,birmingham-mgit-run7,9,EXP-NBD103,2018,1.1.1,ERR4821316,ERR9030368,,ERS10792340,SAMEA13188803,
18_0622446,birmingham,1,0,0,0,birmingham-mgit-run5,2,EXP-NBD103,2018,4.2.2,ERR4815143,ERR9030423,,ERS10792341,SAMEA13188804,
18_0622455,birmingham,1,0,0,0,birmingham-mgit-run6,1,EXP-NBD103,2018,3.1.2,ERR4818353,ERR9030518,,ERS10792342,SAMEA13188805,
18_0622456,birmingham,1,0,0,0,birmingham-mgit-run3,4,EXP-NBD103,2018,4.4.1.2,ERR4818310,ERR9030479,,ERS10792343,SAMEA13188806,
18_0622465,birmingham,1,0,0,0,birmingham-mgit-run4,10,EXP-NBD103,2018,2.2,ERR4814410,ERR9030543,,ERS10792344,SAMEA13188807,
18_620606,birmingham,1,0,0,0,mgit_phe_1,2,EXP-NBD103,2018,4.1,ERR4821577,ERR9030517,,ERS10792345,SAMEA13188808,
